origin,diameter1,diameter2,height,buoyant_weight,weight,solid_parts,integuments,dry_integuments,digestive_tract,dry_digestive_tract,gonads,dry_gonads,skeleton,lantern,test,spines,maturity,sex
Farm,11.6,11.6,5.5,NA,0.823,0.6548,0.4667,0.3276,0.045,0.012,0.0014,0.001,NA,NA,NA,NA,0,NA
Farm,11.4,11.3,5.6,NA,0.653,0.565,0.3602,0.24280000000000002,0.0308,0.0087,8e-4,5e-4,NA,NA,NA,NA,0,NA
Farm,11.3,11.4,4.9,NA,0.727,0.6308,0.4125,0.27140000000000003,0.0404,0.0102,2e-4,0,NA,NA,NA,NA,0,NA
Farm,12.7,12.7,5.7,NA,0.923,0.7282,0.4922,0.3266,0.0489,0.0144,0.0068,0.0031,NA,NA,NA,NA,0,NA
Farm,14.5,14.8,6.5,NA,1.472,1.2304,0.8033,0.5385,0.0874,0.022000000000000002,0.0163,0.0044,NA,NA,NA,NA,0,NA
Farm,12.8,13.1,5.5,NA,1.073,0.8923,5.5759,0.3934,0.0738,0.0179,0.0087,0.0034,NA,NA,NA,NA,0,NA
Farm,17.1,17.4,9.2,0.4763,2.44,1.98,1.45,0.82,0.1256,0.0267,0.1569,0.0471,0.6855,0.0646,0.19390000000000002,0.427,0,NA
Farm,17.7,17.3,9.3,0.49660000000000004,2.45,1.9,1.49,0.84,0.1129,0.0254,0.1608,0.0486,0.7103,0.0766,0.2356,0.3981,0,NA
Farm,17.8,17.6,8.2,0.5574,2.8,2.25,1.7,0.96,0.2344,0.0449,0.1333,0.0402,0.8142,0.0793,0.2901,0.44480000000000003,0,NA
Farm,16,16.1,7.6,0.39530000000000004,1.94,1.6,1.23,0.69,0.1366,0.028,0.1032,0.0302,0.5902000000000001,0.0696,0.20650000000000002,0.3141,0,NA
Farm,16.6,16.7,8.8,0.41550000000000004,2.22,1.77,1.33,0.74,0.1644,0.0333,0.1276,0.0356,0.6059,0.058800000000000005,0.1871,0.3601,0,NA
Farm,18,18.1,8.8,0.6385000000000001,3.24,2.42,1.94,1.12,0.1539,0.0381,0.0586,0.0176,NA,NA,NA,NA,0,NA
Farm,18,17.1,9.3,0.5169,2.69,2.15,1.68,0.92,0.186,0.0397,0.0568,0.0171,NA,NA,NA,NA,0,NA
Farm,17.8,18,8.1,0.5574,2.7,2.13,1.72,0.99,0.1084,0.0285,0.0724,0.021,NA,NA,NA,NA,0,NA
Farm,17.5,17.3,7.3,0.4459,2.35,1.71,1.4,0.79,0.0972,0.0252,0.0243,0.0077,NA,NA,NA,NA,0,NA
Farm,19.4,19.1,9.3,0.6385000000000001,3.48,2.62,2.12,1.17,0.1683,0.0427,0.1045,0.0332,NA,NA,NA,NA,0,NA
Farm,18,18.3,10.3,0.6182000000000001,3.08,2.46,1.82,1.06,0.1655,0.038,0.2483,0.0797,NA,NA,NA,NA,0,NA
Farm,18.2,18.2,8.8,0.5473,2.8,2.33,1.78,0.96,0.1542,0.036,0.0967,0.0278,NA,NA,NA,NA,0,NA
Farm,17.6,17.9,9.8,0.6486000000000001,3.05,2.42,1.88,1.12,0.1526,0.0363,0.152,0.0526,NA,NA,NA,NA,0,NA
Farm,19.5,19.8,10.2,0.6993,3.59,3,2.29,1.23,0.2188,0.0461,0.0991,0.0305,NA,NA,NA,NA,0,NA
Farm,15.5,16.2,7.5,0.375,1.9,1.56,1.15,0.67,0.1262,0.0235,0.0497,0.019,NA,NA,NA,NA,0,NA
Farm,22.8,22.7,12.3,1.4496,6.07,5.47,4.07,2.2,0.6281,0.1006,0.3438,0.0922,2.08,0.18,0.7,1.2,0,NA
Farm,22,22.2,11.2,1.4496,6.11,5.36,3.75,2.17,0.6086,0.083,0.5132,0.1336,2.1,0.15,0.7,1.25,0,NA
Farm,25.2,24.6,11.8,1.6929,6.91,6.21,4.48,2.57,0.6413,0.0788,0.6786,0.1924,2.4400000000000004,0.21,0.88,1.35,0,NA
Farm,21.8,21.7,11.1,1.3381,5.31,4.83,3.57,1.97,0.4089,0.0702,0.4898,0.135,1.88,0.15,0.63,1.1,0,NA
Farm,24.6,24.9,12.1,1.6421999999999999,7.02,6.18,4.54,2.5,0.6684,0.0872,0.5287,0.1605,2.33,0.18,0.88,1.27,0,NA
Farm,24.6,25.6,12,1.5712000000000002,7.41,6.25,4.62,2.67,0.6275,0.0792,0.5389,0.1574,NA,NA,NA,NA,0,F
Farm,23.1,23,10,1.1252,5.48,5.01,3.49,1.89,0.6198,0.0826,0.3939,0.1106,NA,NA,NA,NA,0,M
Farm,25.5,24.8,11.6,1.4699,7.09,6.42,4.56,2.47,0.7546,0.0918,0.5976,0.164,NA,NA,NA,NA,0,NA
Farm,21.3,21,9.8,0.9833000000000001,4.57,4.27,2.93,1.62,0.5031,0.0778,0.2667,0.0767,NA,NA,NA,NA,0,M
Farm,23,23.1,10.6,1.1455,5.55,4.85,3.44,1.89,0.3313,0.0475,0.4962,0.1408,NA,NA,NA,NA,0,M
Farm,22.5,23.1,10.4,1.1759,5.57,5.14,3.54,2,0.4334,0.0761,0.5691,0.1449,NA,NA,NA,NA,0,NA
Farm,21.2,21.4,9.4,1.0948,4.97,4.63,3.23,1.84,0.4439,0.0661,0.4,0.1054,NA,NA,NA,NA,0,NA
Farm,20.1,20.6,9.8,0.8413,3.98,3.82,2.65,1.44,0.3961,0.0634,0.2572,0.0708,NA,NA,NA,NA,0,NA
Farm,24.3,24,11.1,1.4394,6.9,6.3,4.2,2.46,0.5853,0.0968,0.6741,0.1841,NA,NA,NA,NA,0,NA
Farm,19.9,19.7,9.3,0.8819,4.18,3.82,2.49,1.48,0.3446,0.0578,0.298,0.0815,NA,NA,NA,NA,0,NA
Farm,27.9,27.9,13.1,2.1284,9.58,8.48,6.54,3.64,0.66,0.08,0.96,0.29,3.38,0.31,1.2,1.87,0,NA
Farm,26.1,25.6,12.8,1.4595,7.93,6.79,5.08,2.52,0.75,0.1,0.75,0.19,2.37,0.2,0.82,1.35,0,NA
Farm,27.9,27.4,14.6,2.5136000000000003,11.24,9.99,7.78,4.27,0.68,0.1,1.28,0.39,4.07,0.32,1.42,2.33,0,NA
Farm,28.9,29.5,15.6,2.3413,12.17,9.95,7.49,4.05,1.49,0.17,0.78,0.21,3.73,0.32,1.42,1.99,0,NA
Farm,27,26.8,13.7,1.9967000000000001,9.37,8.11,6.42,3.51,0.82,0.1,0.51,0.14,3.33,0.28,1.19,1.86,0,NA
Farm,28.4,28.1,13.9,2.1385,10.25,8.54,6.59,3.59,0.75,0.12,1.03,0.31,NA,NA,NA,NA,0,M
Farm,25.5,25.6,11.9,1.4696,7.49,6.39,4.92,2.57,0.92,0.12,0.41,0.12,NA,NA,NA,NA,0,NA
Farm,26.7,27.5,13.1,1.6419000000000001,8.98,7.22,5.3,2.81,1.03,0.14,0.56,0.15,NA,NA,NA,NA,0,NA
Farm,27.8,28.4,14.6,2.0676,10.77,8.96,6.68,3.51,1,0.14,1.12,0.32,NA,NA,NA,NA,0,M
Farm,27.8,27,12.4,1.7635,9.6,8.04,6.15,3.06,0.94,0.11,0.69,0.2,NA,NA,NA,NA,1,M
Farm,27.9,28.2,15.1,2.321,10.91,9.23,6.79,3.94,1.18,0.16,0.87,0.26,NA,NA,NA,NA,0,NA
Farm,27.5,26.5,14.5,2.3717,10.47,8.62,6.77,4,0.88,0.14,0.77,0.23,NA,NA,NA,NA,0,NA
Farm,27.6,27.6,14.4,2.321,9.96,8.17,6.46,3.93,0.74,0.11,0.63,0.21,NA,NA,NA,NA,0,NA
Farm,26.3,26.5,13.5,1.9865,9.15,7.72,5.96,3.41,0.82,0.1,0.59,0.19,NA,NA,NA,NA,0,NA
Farm,27.5,28.2,14.1,2.2298,9.53,8.11,6.45,3.79,0.76,0.11,0.81,0.25,NA,NA,NA,NA,0,NA
Farm,34.1,34.3,18.4,3.5372,18.81,13.47,10.97,6.07,2.06,0.22,0,0,5.7,0.63,2.62,2.45,0,NA
Farm,34.1,33.8,17.8,3.1115,17.82,12.47,9.81,5.37,2.25,0.24,0.15,0.02,5.09,0.53,2.05,2.51,0,NA
Farm,32.7,33.6,18.6,3.4865,18.27,14.43,10.96,5.99,2.58,0.26,0.59,0.14,5.470000000000001,0.57,1.93,2.97,0,NA
Farm,33.7,34,17.5,3.821,17.88,13.77,10.9,6.47,2.04,0.24,0.26,0.06,6.15,0.63,2.54,2.98,0,NA
Farm,33.1,32.6,16,3.2028,15.25,10.63,9.4,5.38,0.89,0.1,0.09,0.02,5.07,0.49,2.19,2.39,0,NA
Farm,33,33.8,18.1,3.8615,19.05,14.92,11,6.45,2.17,0.25,1.24,0.39,NA,NA,NA,NA,0,M
Farm,33.3,34.1,17.8,3.7602,18.02,13.79,11.18,6.37,1.55,0.19,0.79,0.2,NA,NA,NA,NA,0,NA
Farm,34.9,35.3,18.4,4.6825,21.27,17.98,12.96,7.75,1.91,0.24,2.58,0.84,NA,NA,NA,NA,0,NA
Farm,34.2,34.9,16.9,3.6284,17.93,12.97,10.62,6.14,1.63,0.19,0.09,0.02,NA,NA,NA,NA,0,NA
Farm,34.5,34.3,17,4.1656,18.55,15.23,11.68,6.97,1.58,0.18,1.51,0.48,NA,NA,NA,NA,0,F
Farm,33.6,33.5,16.5,3.071,16.1,12.8,9.31,5.12,1.71,0.22,1.43,0.5,NA,NA,NA,NA,0,F
Farm,32.6,31.4,15.3,2.4426,12.51,10.88,7.46,4.01,1.31,0.17,1.71,0.54,NA,NA,NA,NA,0,NA
Farm,32,31.6,15.5,2.321,13.09,10.55,7.66,3.97,1.24,0.15,0.95,0.32,NA,NA,NA,NA,0,NA
Farm,32.3,33,15.6,2.6757,14.22,11.7,8.89,4.63,1.52,0.19,0.87,0.28,NA,NA,NA,NA,0,NA
Farm,30.8,31.3,14.3,2.4628,12.39,10.49,7.46,4.06,1.36,0.2,1.26,0.41,NA,NA,NA,NA,0,NA
Farm,38.3,38.9,19,4.3074,22.12,15.35,12.39,6.94,1.87,0.23,0.93,0.26,6.630000000000001,0.45,2.77,3.41,0,M
Farm,38,36.5,20.9,4.5608,22.72,17.47,13.15,7.31,1.86,0.27,2.35,0.74,6.83,0.54,2.78,3.51,1,F
Farm,37,35.6,17.6,3.4764,18.81,14.53,10.59,5.76,1.92,0.23,1.7,0.54,5.38,0.41,2.19,2.78,0,M
Farm,39.7,40.2,20.8,4.7635000000000005,25.4,19.89,14.38,7.9,1.7,0.19,3.63,0.83,7.59,0.62,3.34,3.63,2,M
Farm,38.1,37.7,18.5,3.4966,21.73,16.3,11.24,5.79,1.96,0.26,2.91,0.86,5.56,0.51,2.48,2.57,1,F
Farm,38.1,37.2,21.5,4.8648,24.71,17.69,14.84,8.35,1.76,0.26,0.86,0.22,NA,NA,NA,NA,0,NA
Farm,38.6,37.4,20.4,4.6824,23.64,18.16,14.8,7.97,1.85,0.21,1.03,0.28,NA,NA,NA,NA,0,F
Farm,38.9,38.2,19.5,4.3885,23.11,18.05,13.76,7.37,1.44,0.23,2.2,0.69,NA,NA,NA,NA,0,F
Farm,38.7,39.2,22.4,4.3783,24.5,17.34,13.52,7.46,2.12,0.25,0.77,0.2,NA,NA,NA,NA,0,M
Farm,38.7,39.2,22,4.4898,25.11,18.04,14.35,7.78,2.36,0.24,1.05,0.31,NA,NA,NA,NA,0,NA
Farm,36.3,38.3,18.9,4.6823,23.54,18.64,13.1,7.66,1.93,0.28,2.9,0.92,NA,NA,NA,NA,0,NA
Farm,38.5,36.8,21.8,5.4526,25.61,19.69,15.13,9.09,2.17,0.27,1.67,0.53,NA,NA,NA,NA,0,M
Farm,36.9,37.7,20.1,4.9053,24.71,18.44,14.06,8.26,2.37,0.27,1.51,0.48,NA,NA,NA,NA,0,M
Farm,35.6,35.7,20.7,4.7837,23,17.99,14.12,8.14,1.79,0.23,1.2,0.39,NA,NA,NA,NA,0,NA
Farm,37.3,36.6,19.9,4.4593,21.88,17.99,12.88,7.4,1.56,0.2,2.89,0.86,NA,NA,NA,NA,0,M
Farm,43.6,43.4,24.1,7.0533,35.96,23.96,19.54,11.93,2.8,0.37,1.3,0.32,11.07,0.81,4.48,5.78,0,F
Farm,45.4,44.3,25.1,7.4383,40.78,27.87,21.07,12.41,3.85,0.55,2.59,0.8,11.42,0.93,3.93,6.56,0,NA
Farm,46.5,46.5,25.4,8.6544,42.36,32.58,23.85,14.28,3.97,0.49,3.75,1.24,13.29,1.05,5.19,7.05,0,F
Farm,45.1,43.8,23.7,8.3504,40.68,29.17,22.74,13.88,2.89,0.4,2.79,0.93,12.93,0.9,4.41,7.62,0,M
Farm,42.6,43.1,23.1,7.9957,38.79,28.74,21.6,13.16,3.29,0.43,3.16,1.05,12.29,0.88,4.46,6.95,0,M
Farm,47.5,47.1,27.4,10.3468,50.55,38.65,26.53,16.6,4.68,0.62,6.89,2.65,NA,NA,NA,NA,0,M
Farm,43.5,44.5,22.6,6.0804,36.18,29.01,21.25,12.68,2.47,0.29,4,1.3,NA,NA,NA,NA,0,M
Farm,41.8,41.2,21.1,6.3236,30.03,23.52,18.17,10.58,1.66,0.23,3.09,1.12,NA,NA,NA,NA,0,M
Farm,45.1,43.8,22.4,7.4486,35.1,28.32,20.96,12.15,3.19,0.4,3.18,0.97,NA,NA,NA,NA,1,M
Farm,41.9,40.9,21.7,4.7529,28.2,20.6,15.09,8.1,2.42,0.38,1.97,0.67,NA,NA,NA,NA,0,M
Farm,42.8,41.9,23.4,5.7055,32.27,24.37,17.39,9.47,2.31,0.33,3.56,1.3,NA,NA,NA,NA,0,M
Farm,43.5,41.7,23.9,5.8778,34,24.64,17.48,9.69,2.74,0.37,3.49,1.16,NA,NA,NA,NA,0,F
Farm,45,43.6,21.5,5.9589,33.03,24.65,18.12,9.94,1.85,0.27,3.3,1.22,NA,NA,NA,NA,0,NA
Farm,46.6,44.3,23.6,6.7189,37.82,25.05,19.45,11.16,2.22,0.3,2.47,0.85,NA,NA,NA,NA,0,M
Farm,47.3,47.4,26.4,8.8065,46.87,29.94,24.9,14.4,3.85,0.48,0.62,0.17,13.43,1.02,5.53,6.88,0,NA
Farm,50.4,49.6,25.6,9.3233,51.34,33.62,27.04,15.79,4.17,0.43,1.38,0.39,14.72,1.11,6.42,7.19,0,NA
Farm,49.3,49.6,26.6,8.1174,50.58,32.56,24.57,13.78,4.92,0.59,1.94,0.55,12.73,0.95,4.92,6.86,0,NA
Farm,49.6,48.5,26.5,8.5329,52.09,36.25,25.29,14.15,5.38,0.68,4.92,1.61,13.01,1.09,5.62,6.3,0,F
Farm,47.3,47.1,25.6,8.1478,49.55,32.44,25.24,13.9,5.18,0.53,1.38,0.41,12.87,1.11,4.91,6.85,0,NA
Farm,46.5,45.8,23.8,8.2489,44.88,34.98,25.95,13.84,3.91,0.47,4.42,1.4,NA,NA,NA,NA,0,M
Farm,46.8,46.2,25.7,8.8367,46.71,36.5,26.34,14.6,4.95,0.61,4.64,1.59,NA,NA,NA,NA,0,M
Farm,51.2,52.1,23.2,10.7722,54.66,39.11,29.95,17.94,5.35,0.61,3.11,1,NA,NA,NA,NA,0,M
Farm,47,47.3,25.2,7.651,45.84,35.06,24.5,12.95,5.34,0.6,3.83,1.09,NA,NA,NA,NA,1,F
Farm,47.3,46.9,21.8,7.5698,43.24,31.35,23.25,12.85,3.93,0.43,3.45,1.03,NA,NA,NA,NA,0,M
Farm,44.9,44.9,22,5.4012,34.06,25.88,18.27,9.21,4.09,0.41,3.17,0.98,NA,NA,NA,NA,0,M
Farm,46.4,48.1,24,7.4381,44.15,32.15,22.35,12.39,5.1,0.61,3.79,1.28,NA,NA,NA,NA,0,F
Farm,44,44.7,23,7.053,38.94,29.62,21.18,11.88,4.5,0.46,3.03,0.94,NA,NA,NA,NA,0,F
Farm,45.8,45,21.4,6.6477,36.35,28.9,20.02,10.96,3.72,0.48,4,1.27,NA,NA,NA,NA,0,M
Farm,50.5,49.4,26.1,8.9379,51.35,37.73,31.28,14.93,4.96,0.49,4.58,1.62,NA,NA,NA,NA,0,F
Farm,63.5,63.5,31.6,17.1913,98.58,73.14,46.87,28.38,8.75,0.93,14.48,4.59,25.75,1.6,11.96,12.19,2,F
Farm,65.6,65.6,32.2,16.6135,100.51,70.12,46.94,27.16,9.11,1.02,12.53,4.01,24.39,1.46,11.34,11.59,2,M
Farm,63.3,64.2,31.4,17.7285,99.08,71.93,47.22,28.8,6.57,0.7,15.93,4.35,26.270000000000003,1.54,11.88,12.85,2,M
Farm,63.5,64.3,27.9,15.9547,93.21,72.07,44.98,25.91,10.37,0.97,13.38,4.1,23.39,1.38,11.1,10.91,2,F
Farm,58.8,59.7,27.7,14.7769,85.79,61.73,41.64,24.53,8.75,0.76,8.67,2.18,NA,NA,NA,NA,2,M
Farm,56,55.6,28.9,10.9763,70.61,47.3,31.68,18.22,6.52,0.71,6.87,1.67,NA,NA,NA,NA,2,F
Farm,60,58.8,30.8,15.5168,89.25,66.24,41.91,24.79,7.17,0.7,15.2,5,NA,NA,NA,NA,2,M
Farm,58.2,58.4,26.8,13.8242,75.42,53.76,37.39,22.18,5.94,0.63,8.98,3.17,NA,NA,NA,NA,0,M
Farm,56.4,56.6,26,14.5235,75.44,56.9,38.4,23.69,7.52,0.78,8.64,2.75,NA,NA,NA,NA,2,M
Farm,55.6,54.7,28.7,13.8644,75,50.27,35.66,22.66,6.7,0.66,5.39,1.83,20.95,1.12,9.44,10.39,1,M
Farm,58.7,59,29.6,14.4015,84.52,55.48,38.92,23.42,8.47,0.92,5.56,1.81,21.46,1.17,10.5,9.79,1,M
Farm,58.1,57.8,28.5,13.9759,79.62,54.64,36.25,21.42,10.31,0.88,6.38,1.86,19.46,1.25,9.36,8.85,1,F
Farm,57.9,57.8,27.3,13.7934,76.21,52.46,35.48,22.16,7.09,0.73,6.37,2.13,20.2,1.42,9.7,9.08,1,F
Farm,57.8,57.6,30.5,16.5501,84.91,66.69,43.89,26.97,9.03,0.9,11.58,3.74,24.56,1.31,11.25,12,2,F
Farm,55.2,55.2,30,12.5032,76.08,45.92,37.87,21.36,4.7743,0.4929999999999999,2.8194,0.7023999999999999,19.787100000000002,1.4593000000000003,9.7363,8.5915,0,M
Farm,54.1,51.4,27.9,10.7706,61.51,42.32,32.86,18.32,6.265599999999999,0.5511999999999999,2.7576,0.6859000000000001,16.7662,1.4184000000000005,8.2475,7.100300000000001,0,NA
Farm,54.6,53.3,27,11.7028,62.81,45.41,33.41,19.34,3.7272,0.3571,7.4377,2.6218000000000004,17.797600000000003,1.4152,9.193800000000001,7.188600000000001,0,F
Farm,52.8,53.1,26.4,9.119,57.42,39.54,28.59,15.24,3.9921,0.46780000000000005,6.1471,1.8706,14.020199999999999,1.1622,7.820799999999999,5.0372,0,F
Farm,51.4,52.5,25.8,8.3692,53.04,32.17,26.3,14.37,3.2267,0.3511000000000001,1.365,0.3306,13.1908,1.2118999999999995,7.138399999999999,4.8405,0,M
Farm,45.7,44.8,23.4,7.1231,40.28,27.79,22.09,12.15,3.2696,0.35059999999999997,1.3763,0.27180000000000004,12.0687,0.8851999999999998,5.891,5.2925,2,M
Farm,47.1,46.5,24.5,8.5315,46.75,35.75,26.67,14.58,5.5360000000000005,0.46709999999999996,2.577,0.6237999999999999,14.4512,1.3164999999999996,7.1042,6.0305,1,F
Farm,47.2,47.7,24.4,8.2174,47.21,35.29,27.45,14.16,5.5684,0.5463,1.5141999999999998,0.4190999999999999,13.8826,1.1692,6.4918,6.2216000000000005,0,M
Farm,46.5,46.8,24.5,8.268,46.79,34.88,24.85,13.87,5.8877,0.5525999999999999,3.0492,0.9792,13.7025,1.0339,6.986800000000001,5.6818,0,M
Farm,45.4,45.5,25,7.194,43.79,31.18,23.44,12.33,4.225899999999999,0.38199999999999995,2.3619000000000003,0.6260999999999999,12.2789,0.9243999999999999,5.9072000000000005,5.4473,0,M
Farm,43.3,43.2,21.6,4.0731,29.34,19.51,14.24,7,4.0535,0.3825,0.7877,0.16780000000000006,7.4687,0.6633,4.989800000000001,1.8155999999999999,0,M
Farm,43.7,44,21.4,6.5251,36.11,25.71,19.79,11.12,4.7979,0.4157,0.3063,0.04349999999999998,11.4281,0.8550999999999997,6.3848,4.1882,0,M
Farm,43.4,43,20.5,5.8766,32.92,21.68,17.89,10,2.8167999999999997,0.2775,0.09079999999999999,0.011300000000000001,10.6131,0.7922000000000002,5.726699999999999,4.0942,0,M
Farm,42,42.3,20.3,4.6,29.42,21.7,15.92,7.9,4.1884,0.40159999999999996,0.8864000000000001,0.21970000000000006,8.198600000000003,0.6366,4.508500000000001,3.0535000000000005,0,M
Farm,38.3,38.4,19.1,4.8634,25.28,18.71,14.67,8.33,2.9302,0.2793,0.34210000000000007,0.0726,8.5565,0.5881999999999996,4.3498,3.6185,0,F
Farm,24.8,26.4,13.5,1.7421,8.27,6.42,5.3,2.99,0.42,0.08,0.48,0.13,2.6414,0.2913999999999999,0.95,1.4,0,F
Farm,26.3,26.9,13.5,1.8941,8.47,5.57,5.1,3.19,0.3,0.04,0,0,2.9986999999999995,0.2586999999999997,1.05,1.69,0,NA
Farm,27.4,26.9,14.4,1.7219,8.85,6.31,5.43,2.96,0.57,0.08,0.05,0.01,2.6815,0.2915000000000001,1.04,1.35,2,M
Farm,27,26.7,13.4,1.8232,9.24,7.01,5.68,3.15,0.79,0.12,0.26,0.06,2.7978,0.27780000000000005,1.08,1.44,1,F
Farm,26.9,26.6,14.5,2.046,9.36,7.4,5.89,3.45,0.53,0.09,0.65,0.19,3.0906000000000002,0.3506,1.25,1.49,1,M
Farm,26.3,26.4,10.7,1.4282,7.68,5.81,4.9,2.56,0.36,0.05999999999999994,0.3,0.06999999999999995,2.1833,0.1933,0.73,1.26,0,F
Farm,26.6,26.9,12.3,1.4180000000000001,7.61,6.13,4.57,2.45,0.72,0.09,0.16,0.05,2.1025,0.1825,0.8,1.12,0,NA
Farm,24.7,25.4,11.4,1.2053,6.72,4.95,4.02,2.07,0.37,0.07,0.27,0.05999999999999994,1.8145,0.1745000000000001,0.7,0.94,0,NA
Farm,27,26.9,13.7,1.7219,9.72,7.38,5.48,2.97,0.67,0.09,0.4,0.12,2.5713,0.22129999999999983,1.03,1.32,0,NA
Farm,25.8,26.6,11.6,1.4383,7.59,5.72,4.45,2.49,0.44,0.05,0.27,0.08,2.1529000000000003,0.15290000000000026,0.78,1.22,0,NA
Farm,39,38.3,19.7,4.467,23.52,19.38,14.31,7.6,2.65,0.34,2.13,0.51,6.6047,0.7047,2.95,2.95,1,F
Farm,35.9,36,15.5,3.0894,18.03,13.08,12.02,5.42,1.89,0.22,0.17,0.03,4.8416,0.5015999999999998,1.89,2.45,0,NA
Farm,38.1,38.6,18.4,4.6797,23.93,19.02,14.59,8.04,2.49,0.28,1.41,0.3,7.1718,0.6617999999999999,3.12,3.39,2,F
Farm,35.6,35.1,17.3,3.211,17.43,13.4,10.12,5.46,1.23,0.15,1.42,0.46,4.7909,0.6309,2.27,1.89,0,NA
